OCR Corrections — 2515 substitutions across 246 entries
========================================================================
DATE         RULE             ORIGINAL                     CORRECTED
1942-02-22   hyphen_join      sta-tions                    stations
1942-02-22   hyphen_join      re-quested                   requested
1942-02-22   hyphen_join      protec-tion                  protection
1942-02-22   hyphen_join      anti-aircraft                antiaircraft
1942-02-22   hyphen_join      pro-tection                  protection
1942-02-22   hyphen_join      stor-age                     storage
1942-02-22   hyphen_join      informa-tion                 information
1942-02-22   hyphen_join      re-ports                     reports
1942-02-22   hyphen_join      re-quires                    requires
1942-02-22   hyphen_join      pre-dicted                   predicted
1942-02-22   hyphen_join      with-drawn                   withdrawn
1942-02-22   adjacent_join    PR EFERABLY                  PREFERABLY
1942-02-22   rn_m             orn                          om
1942-02-24   phrase_norm      Cominch                      COMINCH
1942-02-25   phrase_norm      Cominch                      COMINCH
1942-02-25   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-26   phrase_norm      Cominch                      COMINCH
1942-02-28   hyphen_join      dis-tribution                distribution
1942-02-28   hyphen_join      dis-tant                     distant
1942-03-01   phrase_norm      Cominch                      COMINCH
1942-03-03   phrase_norm      Cominch                      COMINCH
1942-03-03   phrase_norm      Cominch                      COMINCH
1942-03-03   phrase_norm      Cominch                      COMINCH
1942-03-03   phrase_norm      Cominch                      COMINCH
1942-03-03   hyphen_join      re-quired                    required
1942-03-03   hyphen_join      north-east                   northeast
1942-03-03   hyphen_join      concen-tration               concentration
1942-03-04   phrase_norm      Cominch                      COMINCH
1942-03-04   phrase_norm      Cominch                      COMINCH
1942-03-04   phrase_norm      Cominch                      COMINCH
1942-03-04   phrase_norm      Cominch                      COMINCH
1942-03-04   hyphen_join      be-cause                     because
1942-03-04   hyphen_join      enlighten-ment               enlightenment
1942-03-04   hyphen_join      recom-mended                 recommended
1942-03-04   hyphen_join      re-sponsible                 responsible
1942-03-04   hyphen_join      car-riers                    carriers
1942-03-05   phrase_norm      Cominch                      COMINCH
1942-03-05   phrase_norm      Cominch                      COMINCH
1942-03-05   phrase_norm      Cominch                      COMINCH
1942-03-05   hyphen_join      amplifi-cation               amplification
1942-03-06   phrase_norm      Cominch                      COMINCH
1942-03-06   stray_punct      rend.ezvous                  rendezvous
1942-03-06   stray_punct_prefix ;nated                       nated
1942-03-06   symbol_repair    a~plifying                   amplifying
1942-03-06   symbol_repair    re~orts                      resorts
1942-03-06   stray_symbol     Nour~ea                      Nourea
1942-03-06   symbol_repair    Fri~ate                      Frigate
1942-03-07   phrase_norm      Cominch                      COMINCH
1942-03-07   hyphen_join      air-craft                    aircraft
1942-03-08   phrase_norm      Cominch                      COMINCH
1942-03-08   hyphen_join      approach-ing                 approaching
1942-03-09   hyphen_join      con-tinue                    continue
1942-03-09   stray_punct_prefix .British                     British
1942-03-10   phrase_norm      Task Porce                   Task Force
1942-03-10   hyphen_join      de-livered                   delivered
1942-03-10   hyphen_join      over-haul                    overhaul
1942-03-10   hyphen_join      pro-ceeding                  proceeding
1942-03-11   phrase_norm      Cominch                      COMINCH
